time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,latitude,longitude,elevation,u,v,canyon_factor,windward_height_avg,leeward_height_avg,road_distance,indicatedspeed_kph
2021-12-14,11.0,9.5,12.8,0.0,,223.0,10.3,25.9,1026.6,,51.546375,-0.46061,47.51951219512194,-10.285494223214004,0.5464508982803334,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-15,12.0,9.2,13.2,0.0,,248.0,12.5,24.1,1030.6,,51.546375,-0.46061,47.51951219512194,-12.284814396511324,2.309401490271475,25.0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-16,10.5,9.5,11.5,0.0,,345.0,4.7,14.8,1038.0,,51.546375,-0.46061,47.51951219512194,3.943713260941199,-2.556780341655602,9.4,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-17,8.7,6.9,10.4,0.0,,69.0,13.1,29.6,1040.5,,51.546375,-0.46061,47.51951219512194,13.013413974361757,-1.5036810605597526,13.1,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-18,8.0,7.2,8.6,0.0,,85.0,15.4,27.8,1039.3,,51.546375,-0.46061,47.51951219512194,-15.159400308268244,-2.711564547208241,15.4,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-19,4.6,2.8,7.0,0.0,,37.0,8.2,24.1,1034.8,,51.546375,-0.46061,47.51951219512194,6.276395225951815,-5.2770126935273955,8.2,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-20,6.0,5.2,6.7,0.0,,64.0,11.1,22.2,1029.0,,51.546375,-0.46061,47.51951219512194,4.349615257768005,10.212289023984376,11.1,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-21,4.2,-2.3,6.6,0.0,,86.0,6.9,18.5,1025.3,,51.546375,-0.46061,47.51951219512194,-2.647519270153219,-6.371863284328013,6.9,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-22,0.7,-4.3,5.1,0.3,,115.0,6.0,22.2,1019.3,,51.546375,-0.46061,47.51951219512194,-1.9548588313197852,5.672612004148622,6.0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-23,7.8,4.0,11.1,0.3,,208.0,11.0,25.9,1008.1,,51.546375,-0.46061,47.51951219512194,8.724298655247084,6.699747232101664,11.0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-24,8.3,4.4,10.4,0.0,,159.0,7.4,24.1,1004.3,,51.546375,-0.46061,47.51951219512194,-2.534461365457712,6.952446014677298,7.4,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-25,7.1,5.6,8.5,13.5,,96.0,19.4,35.2,1003.5,,51.546375,-0.46061,47.51951219512194,-3.5003507162470284,19.08160226142629,19.4,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-26,7.3,5.2,9.3,11.4,,125.0,9.0,29.6,1000.6,,51.546375,-0.46061,47.51951219512194,7.089430609298111,-5.5443641326979085,9.0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-27,9.1,7.0,11.0,6.1,,149.0,11.9,25.9,992.1,,51.546375,-0.46061,47.51951219512194,-2.662517306613446,-11.598318912324487,11.9,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-28,10.1,8.9,11.2,4.3,,254.0,21.5,53.7,992.4,,51.546375,-0.46061,47.51951219512194,-19.178397651270753,9.717976308354144,43.0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-29,10.8,7.1,15.1,0.8,,217.0,14.7,46.3,1004.2,,51.546375,-0.46061,47.51951219512194,-14.312537666353043,-3.352799658378859,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2021-12-30,14.3,13.5,14.9,1.8,,231.0,23.7,42.6,1012.3,,51.546375,-0.46061,47.51951219512194,2.199507387832287,-23.597715297267047,0,2.266666666666667,3.985714285714285,66.82802055524162,48
2021-12-31,13.5,12.4,15.0,0.0,,225.0,20.2,44.5,1016.5,,51.546375,-0.46061,47.51951219512194,7.419851228150952,-18.787916535691412,0,3.985714285714285,2.266666666666667,66.82802055524162,48
2022-01-01,13.4,12.4,14.9,2.5,,207.0,18.8,38.9,1017.1,,51.546375,-0.46061,47.51951219512194,17.69148633992819,-6.3601345177703825,18.8,3.985714285714285,2.266666666666667,66.82802055524162,48
2022-01-02,11.3,9.2,13.1,1.3,,233.0,20.6,40.8,1010.3,,51.546375,-0.46061,47.51951219512194,17.855092379816305,10.274029205147594,0,2.266666666666667,3.985714285714285,66.82802055524162,48
2022-01-03,9.4,8.0,10.6,0.5,,231.0,16.4,37.0,1007.8,,51.546375,-0.46061,47.51951219512194,1.522021989892384,-16.329220712032892,0,2.266666666666667,3.985714285714285,66.82802055524162,48
2022-01-04,4.8,1.6,8.3,0.0,,294.0,13.8,31.5,1001.5,,51.546375,-0.46061,47.51951219512194,3.562204471666973,-13.33231785182291,27.6,2.266666666666667,3.985714285714285,66.82802055524162,48
